Word,Word class,Imageability (level),Imageability,Number of phonological neighbours (level),Number of phonological neighbours,Phonological neighbourhood density (level),Number of letters,Number of sounds,Number of syllables,Transitivity
å advare,verb,low,3.88,some,4,medium,6,6,3,transitive
å ake,verb,medium,6.190970435,many,26,high,3,3,2,intransitive
å angre,verb,low,3.85,some,9,medium,5,4,2,transitive
å anklage,verb,low,3.850009793,some,7,medium,7,7,3,transitive
å ansette,verb,low,3.7,some,8,medium,7,6,3,transitive
å anslå,verb,low,3.52722456,some,4,medium,5,5,2,transitive
å åpne,verb,medium,6.228438716,some,6,medium,4,4,2,alternating
å arbeide,verb,medium,4.962767123,some,5,high,7,6,3,alternating
å avansere,verb,low,3.37,few,3,medium,8,8,4,alternating
å avbryte,verb,low,3.34120217,few,3,medium,7,7,3,transitive
å avgi,verb,low,2.648171658,few,3,medium,4,4,2,transitive
å avlive,verb,medium,5.108741973,some,5,medium,6,6,3,transitive
å avsky,verb,low,4.076778652,few,3,medium,5,4,2,transitive
å avtale,verb,low,3.736804887,some,7,medium,6,6,3,transitive
å bade,verb,high,6.718871271,many,20,high,4,4,2,alternating
å bære,verb,medium,6.091557709,many,21,high,4,4,2,alternating
å bake,verb,medium,6.251979697,many,25,high,4,4,2,alternating
å balansere,verb,medium,5.765372765,some,4,medium,9,9,4,alternating
å banke,verb,medium,5.701154636,many,22,medium,5,5,2,alternating
å banke på,verb,medium,6.477744332,no info,,,8,8,3,alternating
å barbere,verb,high,6.61855339,some,5,low,7,7,3,transitive
å barbere seg,verb,medium,6.298010614,no info,,,11,10,4,transitive
å be,verb,medium,6.12845823,many,35,high,2,2,1,alternating
å begrave,verb,medium,5.982692461,some,4,medium,7,7,3,transitive
å begripe,verb,low,2.741886589,few,3,low,7,7,3,alternating
å begynne,verb,low,3.692561966,some,4,high,7,6,3,alternating
å beholde,verb,low,3.36,some,5,medium,7,6,3,transitive
å behøve,verb,low,2.600716762,some,6,medium,6,6,3,transitive
å benke seg,verb,medium,4.732890355,no info,,,9,8,3,transitive
å benytte,verb,low,3.708444092,some,6,medium,7,6,3,transitive
å beregne,verb,low,3.97,some,6,medium,7,6,3,transitive
å beskrive,verb,low,3.332163453,few,3,medium,8,8,3,alternating
å bestå av,verb,low,2.718258695,no info,,,8,8,3,transitive
å bestemme seg,verb,low,3.929215606,no info,,,12,10,4,transitive
å betale,verb,medium,5.59,some,7,medium,6,6,3,alternating
å beundre,verb,low,4.36,some,5,medium,7,7,3,transitive
å bevise,verb,low,3.629249745,some,6,medium,6,6,3,alternating
å bikke,verb,low,4.426835431,many,25,high,5,4,2,alternating
å bile,verb,medium,5.849656068,many,23,medium,4,4,2,alternating
å binde,verb,medium,5.149015014,many,30,high,5,4,2,alternating
å bite,verb,medium,5.999797962,many,21,high,4,4,2,alternating
å bivåne,verb,low,3.36924292,some,7,low,6,6,3,transitive
å bjeffe,verb,medium,6.176211276,some,6,medium,6,5,2,intransitive
å bjelle,verb,low,3.870773233,no info,,,6,5,2,transitive
å blande,verb,medium,4.990277578,some,17,medium,6,5,2,transitive
å blåse,verb,medium,6.259536694,some,11,medium,5,5,2,alternating
å bli,verb,low,3.41013962,some,18,high,3,3,1,intransitive
å blunke,verb,medium,6.292294612,some,10,medium,6,6,2,intransitive
å bo,verb,medium,5.393630564,many,34,high,2,2,1,intransitive
å bokse,verb,medium,6.245780637,some,9,medium,5,5,2,alternating
å bølge,verb,medium,4.786282287,some,8,medium,5,5,2,intransitive
å bolte,verb,medium,4.530390476,some,14,medium,5,5,2,transitive
å bore,verb,medium,6.234445564,some,14,medium,4,4,2,alternating
å børste,verb,medium,6.165631783,some,10,high,6,5,2,transitive
å bråke,verb,medium,5.438286861,some,16,high,5,5,2,alternating
å brekke,verb,medium,5.977649016,many,21,medium,6,5,2,transitive
å brenne,verb,medium,6.168552844,some,12,medium,6,5,2,alternating
å brenne (seg),verb,medium,5.93,some,12,medium,6,5,2,alternating
å brette,verb,medium,5.946421945,many,24,medium,6,5,2,transitive
å bruke,verb,low,3.258361666,some,11,high,5,5,2,transitive
å bry seg,verb,medium,4.800916984,no info,,,7,6,2,transitive
å bryte ut,verb,medium,4.760871348,no info,,,8,8,3,intransitive
å bukke,verb,medium,6.101366041,some,18,medium,5,4,2,alternating
å burde,verb,low,2.492796577,some,10,medium,5,4,2,intransitive
å busse,verb,medium,5.415519752,many,24,medium,5,4,2,intransitive
å bygge,verb,medium,5.861832513,some,14,medium,5,4,2,alternating
å dælje,verb,medium,5.807218335,no info,,,5,6,2,transitive
å danse,verb,high,6.649445997,some,8,medium,5,5,2,alternating
